servers,clients,Total failed tasks,Avg Completion Time,Avg response time
1,5,0,52.85ms,0.0529757
1,25,0,142.54ms,0.14258879334
1,50,0,231.69ms,0.235340084406
1,100,0,440.62ms,0.445829464
1,250,0,11.11s,1.1071103002012
1,500,0,2.50s,2.4924904416910003
1,1000,0,11.97s,12.242298700271
1,1500,14,22.35s,22.7725856358742
1,2500,6599,93.36s,88.99883979725956
2,5,0,58.21ms,0.05788197584
2,25,0,169.93ms,0.16592252132
2,50,0,285.74ms,0.293835736422
2,100,0,560.91ms,0.5595110364560001
2,250,0,1.36s,1.3608904460844
2,500,0,3.35s,3.3723061508420002
2,1000,3,25.57s,27.184184015879698
2,1500,12,31.95s,32.79271470937714
2,2500,970,103.48s,103.81707678681576
3,5,0,57.02ms,0.061694965840000004
3,25,0,193.94ms,0.0.189445224664
3,50,0,224.31ms,0.324133750254
3,100,0,727.84ms,0.733538003619
3,250,0,1.78s,2.0366980792652
3,500,0,6.12s,6.3154757898024005
3,1000,3,25.15s,24.800998692116302
3,1500,3,48.77s,47.94650433376873
3,2500,2172,103.02s,117.02314988301487
4,5,0,65.60ms,0.058153981640000005
4,25,0,199.81ms,0.2145452185
4,50,0,358.10ms,0.41541929100999997
4,100,0,725.27ms,0.8860815292889999
4,250,0,2.41s,2.3344106579128003
4,500,0,9.75s,10.137052720240199
4,1000,2,32.88s,34.6079545748349
4,1500,5,56.50s,55.632103025245
4,2500,2475,114.06s,112.24516040772448
5,5,0,52.38ms,0.08147591579999999
5,25,0,256.28ms,0.25416777432800003
5,50,0,327.28ms,0.442495380836
5,100,0,818.29ms,0.960314400251
5,250,0,2.06s,2.5822748912684004
5,500,1,13.14s,13.457200518475002
5,1000,1,40.15s,40.6072267367537
5,1500,6,71.93s,71.60598268425393
5,2500,1583,159.94s,142.26986059278215
6,5,2,77.90ms,0.11873349748000002
6,25,27,277.38ms,0.23121638467599998
6,50,163,571.93ms,0.339049090086
6,100,547,499.89ms,0.544591067951
6,250,2434,1.08s,0.25366257892120003
6,500,4926,5.32s,0.9022406636854001
6,1000,9578,12.57s,2.2634683496337997
6,1500,14226,26.68s,3.1881987947434665
6,2500,24296,0s,5.14769772723788
7,5,4,41.95ms,0.08646857581999999
7,25,39,174.73ms,0.2189748635
7,50,143,566.66ms,0.38828444574800003
7,100,645,1.12s,0.44885229657899994
7,250,2399,0s,0.41889479515000005
7,500,4937,0s,1.2631440334247999
7,1000,9533,0s,2.2376848890112
7,1500,14637,0s,3.5385726315363994
7,2500,24566,29.67s,7.27429172179212
